Contre l’Indifference des Athées	Contre l’Indifférence des Athées
Il ordonne à l’homme de reconnoiſtre qu’il eſt vil & meſme abominable, & luy ordonne en meſme temps de vouloir eſtre ſemblable à Dieu.	Il ordonne à l’homme de reconnaître qu’il est vil et même abominable, et lui ordonne en même temps de vouloir être semblable à Dieu.
Sans un tel contrepoids cette élevation le rendroit horriblement vain, ou cet abbaiſſement le rendroit horriblement abjet.	Sans un tel contrepoids cette élévation le rendrait horriblement vain, ou cet abaissement le rendrait horriblement abject.
§ La miſere porte au deſeſpoir la grandeur inſpire la preſomption.	§ La misère porte au désespoir la grandeur inspire la présomption.
§ L’Incarnation monſtre à l’homme la grandeur de ſa miſere par la grandeur du remede qu’il a fallu.	§ L’Incarnation montre à l’homme la grandeur de sa misère par la grandeur du remède qu’il a fallu.
§ Il n’y a point de doctrine plus propre à l’homme que celle-là, qui l’inſtruit de ſa double capacité de recevoir & de perdre la grace, à cauſe du double peril où il eſt toûjours expoſé de deſeſpoir ou d’orgueüil.	§ Il n’y a point de doctrine plus propre à l’homme que celle-là, qui l’instruit de sa double capacité de recevoir et de perdre la grâce, à cause du double péril où il est toujours exposé de désespoir ou d’orgueil.
§ Les Philoſophes ne preſcrivent point des ſentimens proportionnez aux deux eſtats.	§ Les Philosophes ne prescrivent point des sentiments proportionnés aux deux états.
Ils inſpiroient des mouvemens de baſſeſſe pure, & c’eſt auſſi peu l’eſtat de l’homme.	Ils inspiraient des mouvements de bassesse pure, et c’est aussi peu l’état de l’homme.
Il faut des mouvemens de baſſeſſe, non d’une baſſeſſe de nature, mais de penitence;	Il faut des mouvements de bassesse, non d’une bassesse de nature, mais de pénitence;
non pour y demeurer, mais pour aller à la grandeur.	non pour y demeurer, mais pour aller à la grandeur.
Il faut des mouvemens de grandeur, mais d’une grandeur qui vienne de la grace & non du merite, & aprés avoir paſſé par la baſſeſſe.	Il faut des mouvements de grandeur, mais d’une grandeur qui vienne de la grâce et non du mérite, et après avoir passé par la bassesse.
§ Nul n’eſt heureux comme un vray Chreſtien, ny raiſonnable, ny vertueux, ny aimable.	§ Nul n’est heureux comme un vrai Chrétien, ni raisonnable, ni vertueux, ni aimable.
Avec combien peu d’orgueüil un Chreſtien ſe croit-il uny à Dieu?	Avec combien peu d’orgueil un Chrétien se croit-il uni à Dieu?
§ Qui peut donc refuſer à ces celeſtes lumieres de les croire, & de les adorer?	§ Qui peut donc refuser à ces célestes lumières de les croire, et de les adorer?
Car n’eſt-t’il pas plus clair que le jour que nous ſentons en nous meſmes des caracteres ineffaçables d’excellence?	Car n’est-t-il pas plus clair que le jour que nous sentons en nous mêmes des caractères ineffaçables d’excellence?
Que nous crie donc ce cahos & cette confuſion monſtrueuſe, ſinon la verité de ces deux eſtats, avec une voix ſi puiſſante, qu’il eſt impoſſible d’y reſiſter?	Que nous crie donc ce chaos et cette confusion monstrueuse, sinon la vérité de ces deux états, avec une voix si puissante, qu’il est impossible d’y résister?
