TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAVTÉ D'ORANGE. 	TABLEAU DE L'HISTOIRE DES PRINCES ET PRINCIPAUTÉ D'ORANGE.
és meſmes années 1622. & 23. elles furent applanies & les foſsés comblés du terrain des pieces & des fonds qui l’aboutiſsoyent, lequel en fut oſté juſques à la roche, pour empecher que l’ennemy ne s'y peut couvrir en cas de ſiege. 	ès mêmes années 1622. et 23. elles furent aplanies et les fossés comblés du terrain des pièces et des fonds qui l'aboutissaient, lequel en fut ôté jusques à la roche, pour empêcher que l'ennemi ne s'y peut couvrir en cas de siège.
De là ces Murailles deſcendoyent du coſté d’Orient, le long du pendant de la montagne, ou ſe voyent encor par tout leurs Maſures & leurs vieux foſsés;	De là ces Murailles descendaient du côté d'Orient, le long du pendant de la montagne, où se voient encor partout leurs Masures et leurs vieux fossés;
& paſsans aſsés proche de la Chapelle S. 	et passant assez proche de la Chapelle S.
Lazare le vieux, laiſsoint une porte à l'endroit du deſtour du grand chemin, tirant de la porte de pourtoules à Courtheſon:	Lazare le vieux, laissaient une porte à l'endroit du détour du grand chemin, tirant de la porte de pourtoules à Courtheson:
la elles ſe voyent d’envirõ douze pieds d'hauteur avec la forme de leurs tours plus ruinées que la muraille;	là elles se voient d'environ douze pieds d'hauteur avec la forme de leurs tours plus ruinées que la muraille;
puis continuans en long du mydi au ſeptemtrion, cernent une terre aſsés grande du coſté du levant, & paſſent le long de la Meyne appellée en cet endroit le Pertuis;	puis continuant en long du midi au septentrion, cernent une terre assez grande du côté du levant, et passent le long de la Meyne appelée en cet endroit le Pertuis;
vont juſques au pont qui porte le nom de la Tourraque, & ſe perdent dans le foſsé du baſtion, qui fait l'angle la proche appellé de la Tourraque;	vont jusques au pont qui porte le nom de la Tourraque, et se perdent dans le fossé du bastion, qui fait l'angle la proche appelé de la Tourraque;
au fonds duquel paroissent encor les fondements	au fonds duquel paraissent encore les fondements.
L’Aſſiete de ceſte ville ne cede en beauté à aucune autre de l’Europe;	L'Assiette de cette ville ne cède en beauté à aucune autre de l'Europe;
elle eſt aſſize dans la plaine, au pied d’une petite montagne, qu'elle à dos en ſon midy. 	elle est assise dans la plaine, au pied d'une petite montagne, qu'elle à dos en son midi.
Son territoire eſt tres-grand, à droite & à gauche derriere elle, comme ſur petits tertres ſont ſitués les plus legers fonds, propres à produire les plus excellens vins de la contrée, appellés par excellence vins de Coudoulet, derivé du nom de caillou dont la terre eſt couverte en ce quartier là. 	Son territoire est très grand, à droite et à gauche derrière elle, comme sur petits tertres sont situés les plus légers fonds, propres à produire les plus excellents vins de la contrée, appelés par excellence vins de Coudoulet, dérivé du nom de caillou dont la terre est couverte en ce quartier là.
Le reſte du quartier eſt en garrigues & bruieres ſervans à la nourriture du menu beſtail qui rend des laines fort fines:	Le reste du quartier est en garrigues et bruyères servant à la nourriture du menu bétail qui rend des laines fort fines:
ce qui en eſt desfriché ſe convertit utilement à la nourriture des meuriers, la feuille deſquels eſt employée â l'eſlevation des vers à ſoye. 	ce qui en est défriché se convertit utilement à la nourriture des mûriers, la feuille desquels est employée à l'élévation des vers à soie.
Et comme ce quartier la ſe rancontre naturelement plus ſec que les autres de la plaine;	Et comme ce quartier la se rencontre naturellement plus sec que les autres de la plaine;
la nature la pourveu d'un bel eſtang, qui nourrit quantité de poiſſons, Canars, & autres oiſeaux aquatiques :	la nature la pourvu d'un bel étang, qui nourrit quantité de poissons, Canards, et autres oiseaux aquatiques:
outre qu’il n'a faute de tres bonnes eaux, par le moyen des puits, qui y ſont, & de pluſieurs ſources qui y jaliſſent en maints endroits. 	outre qu'il n'a faute de très bonnes eaux, par le moyen des puits, qui y sont, et de plusieurs sources qui y jaillissent en maints endroits.
Au devant de ſes Murs, on voit l'eſtendue d’une belle & grande plaine, ſans interruption de vouſures ou coſtaus, bornée toutefois par les montagnes des eſtats voiſins, comme il à eſté dit :	Au devant de ses Murs, on voit l'étendue d'une belle et grande plaine, sans interruption de voussures ou costaus, bornée toutefois par les montagnes des états voisins, comme il à été dit:
ſemblable à un grand jardin ou à un beau verger, à cauſe du grand nombre d'arbres qui l’embeliſſent ;	semblable à un grand jardin ou à un beau verger, à cause du grand nombre d'arbres qui l'embellissent;
contenant grand nombre de metairies. 	contenant grand nombre de métairies.
Lors que la cuillete eſt mediocre, elle donne du Bled à ſes habitans, beaucoup plus qu’il n'en faut pour leur nouurriture :	Lors que la cueillette est médiocre, elle donne du Blé à ses habitants, beaucoup plus qu'il n'en faut pour leur nourriture:
fait regorger leurs cuves de vin, pour en diſtribuer aux eſtrangers:	fait regorger leurs cuves de vin, pour en distribuer aux étrangers:
produit le Saffran en abondance, qu’ils debitent aux peuples ſeptemtrionaux :	produit le Safran en abondance, qu'ils débitent aux peuples septentrionaux:
& nourrit de tres gros Meuriers blancs, pour les vers à ſoye, qui leur revienent à grande utilité:	et nourrit de très gros Mûriers blancs, pour les vers à soie, qui leur reviennent à grande utilité:
les arbres fruitiers y donnent pluſieurs ſortes de fruits ſavoureux ;	les arbres fruitiers y donnent plusieurs sortes de fruits savoureux;
& les claires & limpides ſources, de pluſieurs belles fontaines y jaliſſent par tout. 	et les claires et limpides sources, de plusieurs belles fontaines y jaillissent partout.
Ceſte grande & celebre riviere du Rhoſne, moville ce beau terroir, du coſté d’occident, à une lieüe loin. (d’ou on pourroit facilement deriver un canal, juſques à la ville, pour la commodité du commerce, & de la debite de tant de danrées;	Cette grande et célèbre rivière du Rhône, mouille ce beau terroir, du côté d'occident, à une lieue loin. (d'où on pourrait facilement dériver un canal, jusques à la ville, pour la commodité du commerce, et de la débite de tant de denrées;
deſſein autrefois reſollu, mais depuis abandonné, par le malheur des troubles.) La riviere d'Egues le traverſe d'un coſté;	dessein autrefois résolu, mais depuis abandonné, par le malheur des troubles.) La rivière d'Eygues le traverse d'un côté;
puis ſe va deſgorger dans le Rhoſne, en ce meſme endroit, vers le port de Balthezard. 	puis se va dégorger dans le Rhône, en ce même endroit, vers le port de Balthezard.
La riviere de la Meine, formée la plus part, des eaux des fontaines, qui ſe raſſemblent dans la plaine du coſté d’orient paſſe le long de ſes murailles , rampliſſant ſes foſsés;	La rivière de la Meyne, formée la plus part, des eaux des fontaines, qui se rassemblent dans la plaine du côté d'orient passe le long de ses murailles, remplissant ses fossés;
& faiſant moudre quantité de moulins de toute ſorte;	et faisant moudre quantité de moulins de toute sorte;
ſervant auſſi à l’arrouſage des champs, & à d'autres utilités publiques & particulieres. 	servant aussi à l'arrosage des champs, et à d'autres utilités publiques et particulières.
Le corps de la ville eſt beaucoup diminué de ſon ancienne grandeur, ſes rues n’ont pas la beauté n'y de celles d’Italie, n'y de celles d’Hollande:	Le corps de la ville est beaucoup diminué de son ancienne grandeur, ses rues n'ont pas la beauté n'y de celles d'Italie, n'y de celles d'Hollande:
à cauſe des frequentes ruines, qui y ſont ſurvenues, apres leſquelles les habitans ne rebaſtiſſoient, que pour la neceſſité, & non pour le delice. 	à cause des fréquentes ruines, qui y sont survenues, après lesquelles les habitants ne rebâtissaient, que pour la nécessité, et non pour le délice.
Comme ces vieux Romains qui reparoyent haſtivement les ruines de leur ville, apres l’invaſion des Gaulois. 	Comme ces vieux Romains qui réparaient hâtivement les ruines de leur ville, après l'invasion des Gaulois.
Mais ſi eſt elle des mieux peuplées, & des plus riches du païs , grandement accreüe en baſtimens & en belles maiſons;	Mais si est elle des mieux peuplées, et des plus riches du pays, grandement accrue en bâtiments et en belles maisons;
depuis que nos Princes y ont reſtabli leur authorité. 	depuis que nos Princes y ont rétabli leur autorité.
Ses nouveaux Murs ſont baſtis, à la forme de ceux des villes de l’Empire, (nom qui comprend toutes celles, qui ſont deça le Rhoſne:	Ses nouveaux Murs sont bâtis, à la forme de ceux des villes de l'Empire, (nom qui comprend toutes celles, qui sont deçà le Rhône:
les autres qui ſont de là la riviere, du coſté de Languedoc, ſurnommées du nom de Royaume) avec leurs tours à la mode du temps & du païs. 	les autres qui sont de là la rivière, du côté de Languedoc, surnommées du nom de Royaume) avec leurs tours à la mode du temps et du pays.
Elles ont un terre-plein derrier en forme de rempart;	Elles ont un terre-plein derrière en forme de rempart;
& devant des fauces brayes, communement appellées Barrions, tous crenelés, rendans la façade de la ville, de plus belle repreſentation. 	et devant des fausses braies, communément appelées Barrions, tous crénelés, rendant la façade de la ville, de plus belle représentation.
Elle fut fortifiée es années 1622. & 23. de cinq grands baſN Face Septemtrionnalle du Cirque d'orange B O O A B A M M L K I K P H H Q G G Q F E A A F D F C F D F E	Elle fut fortifiée es années 1622. et 23. de cinq grands basN Face Septentrionale du Cirque d'orange B O O A B A M M L K I K P H H Q G G Q F E A A F D F C F D F E
DESIGNATION DES SINGVLARITES de la Face Septemtionalle du Cirque d'Orange. 	DÉSIGNATION DES SINGULARITÉS de la Face Septentrionale du Cirque d'Orange.
A. 	A.
Hauteur de cent & huict pieds. 	Hauteur de cent et huit pieds.
G. 	G.
Larmiers pour donner jour aux membres d'entre-deux. 	Larmiers pour donner jour aux membres d'entre-deux.
L. 	L.
Bande traverſant la muraille, entrecouppée à jour. 	Bande traversant la muraille, entrecoupée à jour.
B. 	B.
Largeur de trois cents & vingt-quatre pieds. 	Largeur de trois cents et vingt-quatre pieds.
H. 	H.
Arcs ſuperieurs fermés & perſés en voulſure d'un trou M. 	Arcs supérieurs fermés et percés en voussure d'un trou M.
Pierres ſemblables à celles de lettre I. c. 	Pierres semblables à celles de lettre I. c.
Grande Porte au milieu de la Muraille. chacun. 	Grande Porte au milieu de la Muraille. chacun.
N. 	N.
Garite de conſtruction moderne. 	Guérite de construction moderne.
D. 	D.
Petites Portes eſgalement diſtantes de la grande. 	Petites Portes également distantes de la grande.
I. 	I.
Grandes pierres quarrées, avancées hors d'œuvre & O. 	Grandes pierres carrées, avancées hors d'œuvre et O.
Grande corniche au haut de la muraille. 	Grande corniche au haut de la muraille.
E. 	E.
Arcs fermés. percées à jour. 	Arcs fermés. percées à jour.
P. 	P.
Corniche, Friſe & Architrave des Arcs du mitan. 	Corniche, Frise et Architrave des Arcs du mitan.
F. 	F.
Arcs ouverts & en nombre de quatorze. 	Arcs ouverts et en nombre de quatorze.
K. 	K.
Ouvertures à la muraille. 2. 	Ouvertures à la muraille. 2.
Corniche, Friſe & Architrave des Arcs inferieurs.	Corniche, Frise et Architrave des Arcs inférieurs.
