A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
Chacun apporte differemẽt ſon opinion ſur cette grande nouuelle ;	Chacun apporte différemment son opinion sur cette grande nouvelle;
mais quoy qu’on puiſſe dire, ie m’aſſeure qu’il n’eſt rien arriué à ce Seigneur à quoy il ne ſe preparaſt tous les iours, & qu’il a trop veſcu pour ne ſçauoir pas que la fortune prend plaiſir de ſe ioüer des affaires de France, & qu’elle a choiſi de tout tẽps noſtre Cour pour eſtre le theatre de ſes folies.	mais quoi qu’on puisse dire, je m’assure qu’il n’est rien arrivé à ce seigneur à quoi il ne se préparaſt tous les jours, et qu’il a trop vécu pour ne savoir pas que la fortune prend plaisir de se jouer des affaires de France, et qu’elle a choisi de tout temps notre Cour pour être le théâtre de ses folies.
S’il n’euſt eſté pourueu du Gouuernemẽt de cette ville quãd le Roy luy commanda de ſe retirer, ſa cheute euſt eſté plus grande qu’il ne l’a pas faite ;	S’il n’eût été pourvu du Gouvernement de cette ville quand le Roi lui commanda de se retirer, sa chute eût été plus grande qu’il ne l’a pas faite;
mais Dieu veut qu’Angouleſme ſoit la fatale retraite des affligez ;	mais Dieu veut qu’Angoulême soit la fatale retraite des affligés;
& tout bien conſideré, ce n’eſt pas aller fort bas que de tomber ſur vne montaigne.	et tout bien considéré, ce n’est pas aller fort bas que de tomber sur une montagne.
Auſſi certes s’il y a quelque choſe à redire en l’administration des finances, on ne peut pas le blaſmer d’auoir fait le mal, car il l’y a trouué, & depuis, la neceſſité du temps à touſiours combattu ſes bonnes intentions, & empeſché de paroiſtre ce qu’il auoit dans l’ame pour la reformation des deſordres.	Aussi certes s’il y a quelque chose à redire en l’administration des finances, on ne peut pas le blâmer d’avoir fait le mal, car il l’y a trouvé, et depuis, la nécessité du temps à toujours combattu ses bonnes intentions, et empêché de paraître ce qu’il avait dans l’âme pour la réformation des désordres.
Maintenant il eſt neceſſaire que le Roy entreprenne vn deſſein ſi glorieux, & qu’il mette la main à cette partie de l’Eſtat qui a pluſ beſoin de remede que toutes les autres.	Maintenant il est nécessaire que le Roi entreprenne un dessein si glorieux, et qu’il mette la main à cette partie de l’État qui a pluſ besoin de remède que toutes les autres.
Si les Princes que nos Peres ont veu, euſſent conſideré que ce qui entroit en leur Eſpargne c’eſtoit le ſang & les larmes de leur pauure peuple, qu’ils ont contraint quelquefois de s’enfuir dans les bois, & de paſſer la mer pour ſe ſauuer de la taille & de la gabelle, ils euſſent touché à des choſes ſi funeſtes auec plus de ſcrupule, & de crainte qu’ils ne faiſoient pas ;	Si les Princes que nos pères ont vu, eussent considéré que ce qui entrait en leur épargne c’était le sang les larmes de leur pauvre peuple, qu’ils ont contraint quelquefois de s’enfuir dans les bois, et de passer la mer pour se sauver de la taille et de la gabelle, ils eussent touché à des choses si funestes avec plus de scrupule, et de crainte qu’ils ne faisaient pas;
pour le moins ils n’euſſent pas voulu eſtre pauures & iniuſtes tout enſemble, ny donner de l’eſtonnement à toute l’Europe qui n’a peu iamais comprendre pourquoy ils empruntoient leur argent, & qu’ils achetoient leurs places.	pour le moins ils n’eussent pas voulu être pauvres et injustes tout ensemble, ni donner de l’étonnement à toute l’Europe qui n’a peu jamais comprendre pourquoi ils empruntaient leur argent, et qu’ils achetaient leurs places.
Veritablement ceſt vne choſe eſtrange que les Roys puiſſent fier leurs femmes à la vigilance d’autruy, & eſtre aſſeurez que leur chaſteté leur ſera conſeruée, & que neantmoins ils ne ſçachent à qui donner la garde de leurs threſors :	Véritablement cet une chose étrange que les Rois puissent fier leurs femmes à la vigilance d’autrui, et être assurez que leur chasteté leur sera conservée, et que néanmoins ils ne sachent à qui donner la garde de leurs trésors:
Mais ſans mentir, c’eſt qu’vn homme de bien eſt d’autant plus difficile à trouuer qu’vn Eunuche, que les miracles ſont plus rares que les monſtres :	Mais sans mentir, c’est qu’un homme de bien est d’autant plus difficile à trouver qu’un eunuque, que les miracles sont plus rares que les monstres:
Il faut de la force pour eſtre homme, mais il ne faut que de la volonté pour eſtre auare, & les plus innocens ont des mains, & peuuent auoir des tentations.	Il faut de la force pour être homme, mais il ne faut que de la volonté pour être avare, et les plus innocents ont des mains, et peuvent avoir des tentations.
Si c’eſtoit à moy à faire le reformateur, & a preſcher deuant les Eueſques, ie m’eſtendrois dauantage ſur ce ſubiect ;	Si c’était à moi à faire le réformateur, et à prêcher devant les Évêques, je m’étendrais davantage sur ce sujet;
mais en la condition où ie ſuis, il me ſuffit de n’approuuer pas le mal, & de penſer bien des choſes preſentes, pourueu que ce qu’õ dit icy ſoit vray, qu’il n’y a plus rien entre le Roy, & la Reyne ſa Mere qui les empeſche de s’approcher, & que les choſes ſont reuenuës aux termes où la nature les a miſes ;	mais en la condition où je suis, il me suffit de n’approuver pas le mal, et de penser bien des choses présentes, pourvu que ce qu’on dit ici soit vrai, qu’il n’y a plus rien entre le Roi, et la Reine sa mère qui les empêche de s’approcher, et que les choses sont revenues aux termes où la nature les a miſes;
la face de l’Eſtat reprendra bien-toſt la beauté que le feu Roy luy auoit dõnée, & Dieu verſera ſes graces à pleines mains ſur vn ſi iuſte gouuernement.	la face de l’État reprendra bientôt la beauté que le feu Roi lui avait donnée, et Dieu versera ses grâces à pleines mains sur un si juste gouvernement.
Quãd OOO ne ſeroit ſeulement qu’auprés des affaires ſans y toucher, il n’y a point de doute qu’il ne porte bonheur à toute la France, & qu’encore qu’il ne conſeille pas le Roy, il ne luy inſpire tout ce qui ſera neceſſaire pour le bien de ſes ſubiects, & la dignité de ſa Couronne.	Quand OOO ne serait seulement qu’auprès des affaires sans y toucher, il n’y a point de doute qu’il ne porte bonheur à toute la France, et qu’encore qu’il ne conseille pas le Roi, il ne lui inſpire tout ce qui sera nécessaire pour le bien de ses sujets, et la dignité de sa Couronne.
Ie me reſerue à parler cõme ie doy d’vne ſi rare vertu en mon grand ouurage, où ie rends à chacun ſelon ſes œuures, & ie fais le procez à des coupables à qui les Parlemens obeïſſent.	Je me réserve à parler comme je dois d’une si rare vertu en mon grand ouvrage, où je rends à chacun selon ses œuvres, et je fais le procès à des coupables à qui les Parlements obéissent.
Ce ſera là que i’attaqueray la Cour de Rome, que ie ſepare touſiours de l’Egliſe, auec autant de force & de liberté, que celuy de la bouche duquel nous auons veu ſortir les eſclairs, & tomber la foudre :	Ce sera là que j’attaquerai la Cour de Rome, que je sépare toujours de l’Église, avec autant de force et de liberté, que celui de la bouche duquel nous avons vu sortir les éclairs, et tomber la foudre:
Il n’y a rien de beau ſoubs le Ciel dont ie ne trouue les taches :	Il n’y a rien de beau sous le Ciel dont je ne trouve les taches:
il n’y a rien de grand d’vne extremité du monde iuſques à l’autre que ie ne mette par terre :	il n’y a rien de grand d’une extrémité du monde jusques à l’autre que je ne mette par terre:
Ie deſcouuriray les defaux des Princes & des Eſtats :	Je découvrirai les défauts des Princes et des États:
ie combattray le vice en quelque lieu qu’il ſe mette, & de quelque protection qu’il ſe couure ;	je combattrai le vice en quelque lieu qu’il se mette, et de quelque protection qu’il se couvre;
Ie feray vn iugement de noſtre ſiecle, qui ſera auſſi ſeuere que l’Inquiſition d’Eſpagne, & auquel toute la poſterité s’arreſtera.	Je ferai un jugement de notre siècle, qui sera aussi sévère que l’Inquisition d’Espagne, et auquel toute la postérité s’arrêtera.
Mais Monſieur, en cette commune cenſure, ie veux prendre vn ſoin particulier de la reputation de la Reine, & faire voir à tout le monde que ce que nous auons iuſques icy appellé la vertu ;	Mais Monsieur, en cette commune censure, je veux prendre un soin particulier de la réputation de la Reine, et faire voir à tout le monde que ce que nous avons jusques ici appelé la vertu;
c’eſt le naturel de cette grande Princeſſe :	c’est le naturel de cette grande Princesse:
En vn lieu qui eſt deſtiné aux peines & aux ſupplices, elle ne receura, non plus que le Roy, que des fleurs & des Couronnes ;	En un lieu qui est destiné aux peines et aux supplices, elle ne recevra, non plus que le Roi, que des fleurs et des Couronnes;
& comme ſon innocence l’euſt ſauué du naufrage vniuerſel ſi ell’euſt veſcu en ce temps-là, elle la fera encore triompher dans mon Liure au milieu de la ruine des autres.	et comme son innocence l’eût sauvé du naufrage  universel si elle eût vécu en ce temps-là, elle la fera encore triompher dans mon livre au milieu de la ruine des autres.
Ie ne ſçay que c’eſt de flater ;	Je ne sais que c’est de flatter;
mais ie ſçay l’art de dire la verité de bonne grace, & il faudroit que les actions des hommes fuſſent plus grandes que celles qui ont merité des Temples & des Autels, ſi ie ne les eſgalois par mes paroles.	mais je sais l’art de dire la vérité de bonne grâce, et il faudrait que les actions des hommes fussent plus grandes que celles qui ont mérité des Temples et des Autels, si je ne les égalais par mes paroles.
Cela eſtant Monſieur, comme vous n’en doutez pas, imaginez vous auec quels termes ie iuſtifieray la R.D.L.	Cela étant Monsieur, comme vous n’en doutez pas, imaginez vous avec quels termes je justifierai la R.D.L.
R.	R.
& de qu’elle façon ie traiteray ſes ennemis.	et de qu’elle façon je traiterai ses ennemis.
Si ie veux, on croira vn iour que AA a eſté vn monſtre auſſi cruel que ceux de l’Afrique :	Si je veux, on croira un jour que AA a été un monstre aussi cruel que ceux de l’Afrique:
on s’imaginera, que R.	on s’imaginera, que R.
eſtoit vn Magicien qui picquoit touſiours quelque Image de cire auec des aiguilles, & qui troubloit le repos de toutes les Cours des Princes de ſon temps par la force de ſes charmes.	était un Magicien qui piquait toujours quelque image de cire avec des aiguilles, et qui troublait le repos de toutes les Cours des Princes de son temps par la force de ses charmes.
Tant y a que ie feray de grãdes choſes, pourueu que le courage ne me manque point du coſté d’où il me peut venir, & que par quelque ſorte d’obligation ie ſois excité à entreprendre vn ouurage dont on parlera plus que du iugement de Michel Ange.	Tant y a que je ferai de grandes choses, pourvu que le courage ne me manque point du côté d’où il me peut venir, et que par quelque sorte d’obligation je sois excité à entreprendre un ouvrage dont on parlera plus que du jugement de Michel Ange.
Balzac.	Balzac.
Le 28.	Le 28.
Decembre 1622.	Décembre 1622.
AV MESME Lettre XXIX.	AU MÊME Lettre XXIX.
Monsievr, Il faut que voſtre ſerment de fidelité dure encore, & que la ceremonie en ſoit plus longue que ie ne croyois, puis que vous ne me faites point ſçauoir de vos nouuelles, car de m’imaginer que vous me meſpriſiez, i’auouë franchement, que ie n’ay pas ſi mauuaiſe opinion de moy, que ie me le puiſse perſuader ;	Monsieur, Il faut que votre serment de fidélité dure encore, et que la cérémonie en soit plus longue que je ne croyais, puisque vous ne me faites point savoir de vos nouvelles, car de m’imaginer que vous me méprisiez, j’avoue franchement, que je n’ai pas si mauvaise opinion de moi, que je me le puisse persuader;
d’ailleurs ie ſçay que la foy publicque, & tout ce qui a iamais eſté iuré ſur les Autels, & les Euangiles n’eſt point ſi aſſeuré que voſtre parole, & qu’elle demeurera quoy que le Ciel & la terre paſſent :	d’ailleurs je sais que la foi publique, et tout ce qui a jamais été juré sur les Autels, et les Évangiles n’est point si assuré que votre parole, et qu’elle demeurera quoi que le Ciel et la terre passent:
Encore moins auſſi me puis-ie figurer que vous ayez faute de ſanté, de laquelle vous auez fait vn threſor qui doit durer autant que le monde :	Encore moins aussi me puis-je figurer que vous ayez faute de santé, de laquelle vous avez fait un trésor qui doit durer autant que le monde:
Ce ſeroit entreprendre ſur moy que d’eſtre malade, & me diſputer vne choſe qui m’eſt tellement propre, que ie ne la puis communiquer à perſonne.	Ce serait entreprendre sur moi que d’être malade, et me disputer une chose qui m’est tellement propre, que je ne la puis communiquer à personne.
Il en ſera, Monſieur, tout ce que vous voudrez que i’en croye.	Il en sera, Monsieur, tout ce que vous voudrez que j’en croie.
Vous m’aymerez, s’il vous plaiſt, ſans prendre la peine de me le dire, mais pour moy, quelque importunité que ie vous donne, ie ſuis reſolu de vous eſcrire iuſques à ce que vous m’ayez coupé les mains.	Vous m’aimerez, s’il vous plaît, sans prendre la peine de me le dire, mais pour moi, quelque importunité que je vous donne, je suis résolu de vous écrire jusques à ce que vous m’ayez coupé les mains.
Voſtre tres-humble, & tres-affectionné ſeruiteur.	Votre très humble, et très affectionné serviteur.
Balzac.	Balzac.
Le 13.	Le 13.
Ianuier 1623.	Janvier 1623.
AV MESME Lettre XXX.	AU MÊME Lettre XXX.
Monsievr, Vous ne ſçauriez me perdre, quelque peu de ſoin que vous apporteriez à me conſeruer.	Monsieur, Vous ne sauriez me perdre, quelque peu de soin que vous apporteriez à me conserver.
Il faudroit que le Ciel me fit vne nouuelle volonté, & qu’il changeaſt toutes mes inclinations pour m’empeſcher d’eſtre voſtre ſeruiteur.	Il faudrait que le Ciel me fit une nouvelle volonté, et qu’il changeaſt toutes mes inclinations pour m’empêcher d’être votre serviteur.
Toutesfois il me faſche fort que vous ne me teſmoigniez point ce que vous en croyez, & que me pouuant faire heureux par vne de vos lettres, i’aye plus de peine de vous l’arracher que ie n’en aurois pour obtenir trois declarations du Roy, & autant de Brefs de noſtre ſainct Pere, Auec tout cela ie ne puis encore m’imaginer, que vous me mettiez au nombre des choſes qui vous ſont indifferentes, & que vous ne vous ſouueniez plus de ce que vous m’auiez promis ſur les cendres des Martyrs, & dans la ſource meſme de la verité.	Toutefois il me fâche fort que vous ne me témoigniez point ce que vous en croyez, et que me pouvant faire heureux par une de vos lettres, j’aie plus de peine de vous l’arracher que je n’en aurais pour obtenir trois déclarations du Roi, et autant de Brefs de notre saint père, avec tout cela je ne puis encore m’imaginer, que vous me mettiez au nombre des choses qui vous sont indifférentes, et que vous ne vous souveniez plus de ce que vous m’aviez promis sur les cendres des Martyrs, et dans la source même de la vérité.
Ie croy pluſtoſt pour la ſatisfaction de mon eſprit, que vous auez reſolu de m’aimer ſecrettement afin de ne dõner point de ialouſie à perſonne, & qu’il y a plus d’artifice que de froideur en voſtre ſilence.	Je crois plutôt pour la satisfaction de mon esprit, que vous avez résolu de m’aimer secrètement afin de ne donner point de jalousie à personne, et qu’il y a plus d’artifice que de froideur en votre silence.
Autrement ſi cela n’eſtoit, & ſi i’auois perdu vos bonnes graces, il eſt certain que ie voudrois pas viure apres vn ſi ſenſible deſplaiſir, & qu’il n’y a baniſsement, naufrage n’y mauuaiſe fortune, que ie ne prie Dieu de m’enuoyer pluſtoſt qu’vne telle perte :	Autrement si cela n’était, et si j’avais perdu vos bonnes grâces, il est certain que je voudrais pas vivre après un si sensible déplaisir, et qu’il n’y a bannissement, naufrage n’y mauvaise fortune, que je ne prie Dieu de m’envoyer plutôt qu’une telle perte:
Mais c’eſt figurer des choſes impoſſibles, & faire des ſonges que de faire ces diſcours ;	Mais c’est figurer des choses impossibles, et faire des songes que de faire ces discours;
Ie les quitteray donc pour vous conter de mes nouuelles, & pour vous dire auec noſtre ancienne liberté ;	Je les quitterai donc pour vous conter de mes nouvelles, et pour vous dire avec notre ancienne liberté;
que ie n’oſerois pas encore m’aſſeurer que ie me porte bien :	que je n’oserais pas encore m’assurer que je me porte bien:
Il eſt vray qu’il me vient ſouuent des interualles aſſez agreables, & que i’ay quelques bonnes heures qui me font ſouuenir de ma premiere ſanté ;	Il est vrai qu’il me vient souvent des intervalles assez agréables, et que j’ai quelques bonnes heures qui me font souvenir de ma première santé;
Mais il y a bien loin de cét eſtat imparfait à vne force pareille à la voſtre, & vous auez aſſez de vie pour animer trente corps comme le mien :	Mais il y a bien loin de cet état imparfait à une force pareille à la vôtre, et vous avez assez de vie pour animer trente corps comme le mien:
Quoy qu’il en ſoit, les Medecins me promettent de m’en faire vn tout neuf, & de me rendre ce que i’ay perdu.	Quoi qu’il en soit, les médecins me promettent de m’en faire un tout neuf, et de me rendre ce que j’ai perdu.
Ie voudrois bien qu’ils ne me trompaſſent point, & que ie peuſſe me dire auſſi longtemps que ie le ſouhaite[.] MONSIEVR, Voſtre tres-humble & tres-affectionné ſeruiteur.	Je voudrais bien qu’ils ne me trompassent point, et que je pusse me dire aussi longtemps que je le souhaite[.] MONSIEUR, votre très humble et très affectionné serviteur.
Balzac.	Balzac.
Le 6.	Le 6.
Feurier 1623.	Février 1623.
A MONSIEVR DE LA MOTTE Aigron.	À MONSIEUR DE LA MOTTE Aigron.
Lettre XXXI.	Lettre XXXI.
IL fit hier vn de ces iours ſans Soleil que vous dites qui ſemblent à cette belle aueugle dont Philippe ſecõd eſtoit amoureux.	IL fit hier un de ces jours sans soleil que vous dites qui semblent à cette belle aveugle dont Philippe second était amoureux.
Veritablement ie n’eus iamais tant de plaiſir à m’entretenir moy-meſme, & quoy que ie me promenaſſe en vne campagne toute nuë, & qui ne ſçauroit ſeruir à l’vſage des hommes que pour eſtre le champ d’vne bataille, neantmoins l’ombre que le Ciel faiſoit de tous coſtez, m’empeſchoit de deſirer celle des grottes & des foreſts :	Véritablement je n’eus jamais tant de plaisir à m’entretenir moi-même, et quoi que je me promenasse en une campagne toute nue, et qui ne saurait servir à l’usage des hommes que pour être le champ d’une bataille, néanmoins l’ombre que le Ciel faisait de tous côtés, m’empêchait de désirer celle des grottes et des forêts:
La paix eſtoit generalle depuis la plus haute region de l’air iuſques ſur la face de la terre ;	La paix était générale depuis la plus haute région de l’air jusques sur la face de la terre;
l’eau de la riuiere paroiſſoit auſſi plate que celle d’vn lac, & ſi en pleine mer vn tel calme ſurprenoit pour touſiours les vaiſſeaux, ils ne pourroient iamais ny ſe ſauuer, ny ſe perdre.	l’eau de la rivière paraissait aussi plate que celle d’un lac, et si en pleine mer un tel calme surprenait pour toujours les vaisseaux, ils ne pourraient jamais ni se sauver, ni se perdre.
Ie vous dis cecy afin que vous regrettiez vn iour ſi heureux que vous auez perdu à la ville, & que vous deſcendiez quelquefois de voſtre Angouleſme, où vous allez du pair auecque nos tours & nos clochers, pour venir receuoir les plaiſirs des anciens Roys du monde qui ſe deſalteroient dans les fontaines, & ſe nourriſſoient de ce qui tombe des arbres.	Je vous dis ceci afin que vous regrettiez un jour si heureux que vous avez perdu à la ville, et que vous descendiez quelquefois de votre Angoulême, où vous allez du pair avec nos tours et nos clochers, pour venir recevoir les plaisirs des anciens Rois du monde qui se désaltéraient dans les fontaines, et se nourrissaient de ce qui tombe des arbres.
Nous ſommes icy en vn petit rond tout couronné de montaignes, & où il reſte encore quelques grains de cet or dont les premiers ſiecles ont eſté faits :	Nous sommes ici en un petit rond tout couronné de montagnes, et où il reste encore quelques grains de cet or dont les premiers siècles ont été faits:
Certainement quand le feu s’allume aux quatre coins de la France, & qu’à cent pas d’icy la terre eſt toute couuerte de troupes, & les armees ennemies d’vn commun conſentement pardonnent touſiours à noſtre village, & le Printemps qui commence les ſieges, & les autres entrepriſes de la guerre, & qui depuis douze ans a eſté moi attendu pour le changement des ſaiſons, que pour celuy des affaires, ne nous fait iamais rien voir de nouueau que des violettes & des roſes.	Certainement quand le feu s’allume aux quatre coins de la France, et qu’à cent pas d’ici la terre est toute couverte de troupes, et les armées ennemies d’un commun consentement pardonnent toujours à notre village, et le Printemps qui commence les sièges, et les autres entreprises de la guerre, et qui depuis douze ans a été moi attendu pour le changement des saisons, que pour celui des affaires, ne nous fait jamais rien voir de nouveau que des violettes et des roſes.
Noſtre peuple ne ſe conſerue dans ſon innocence, ny par la crainte des loix, ny par l’eſtude de la ſageſſe ;	Notre peuple ne se conserve dans son innocence, ni par la crainte des lois, ni par l’étude de la sagesse;
Pour bien faire il ſuit ſimplement la bonté de ſa nature, & tire plus d’auantage de l’ignorance du vice, que nous n’en auons de la connoiſſance de la vertu :	Pour bien faire il suit simplement la bonté de sa nature, et tire plus d’avantage de l’ignorance du vice, que nous n’en avons de la connaissance de la vertu:
De ſorte qu’en ce Royaume de demy lieuë on ne ſçait que c’eſt de tromper que les oyſeaux & les beſtes, & le ſtile du Palais eſt vne langue auſſi inconnuë que celle de l’Amerique, ou de l’autre partie du monde qui n’eſt pas encore deſcouuerte.	De sorte qu’en ce Royaume de demi lieue on ne sait que c’est de tromper que les oiseaux et les bêtes, et le style du Palais est une langue aussi inconnue que celle de l’Amérique, ou de l’autre partie du monde qui n’est pas encore découverte.
Les choſes qui nuiſent à la ſanté des hommes, ou qui offenſent leurs yeux, en ſont generalement bannies ;	Les choses qui nuisent à la santé des hommes, ou qui offensent leurs yeux, en sont généralement bannies;
il ne s’y vit iamais de lezars ny de coleuures, & de toutes les ſortes de reptiles nous ne connoiſſons que les melons & les fraiſes :	il ne s’y vit jamais de lézards ni de couleuvres, et de toutes les sortes de reptiles nous ne connaissons que les melons et les fraiſes:
Ie ne veux pas vous faire le portraict d’vne maiſon dont l’ouurage n’eſt ny ſi excellent que de Fontainebleau, ny la matiere ſi precieuſe que le marbre & le porphyre ;	Je ne veux pas vous faire le portrait d’une maison dont l’ouvrage n’est ni si excellent que de Fontainebleau, ni la matière si précieuse que le marbre et le porphyre;
Ie vous diray ſeulement qu’à la porte il y a vn bois, où en plein midy il n’entre de iour que ce qu’il en faut pour n’eſtre pas nuict, & pour empeſcher que toutes les couleurs ne ſoient noires :	Je vous dirai seulement qu’à la porte il y a un bois, où en plein midi il n’entre de jour que ce qu’il en faut pour n’être pas nuit, et pour empêcher que toutes les couleurs ne soient noires:
Tellement que de l’obſcurité & de la lumiere il ſe fait vn troiſieſme temps qui peut-eſtre ſupporté des yeux des malades, & cacher les defaux des femmes qui ſont fardees :	Tellement que de l’obscurité et de la lumière il se fait un troisième temps qui peut-être supporté des yeux des malades, et cacher les défauts des femmes qui sont fardées:
Les arbres y ſont verds iuſqu’à la racine, tant de leurs propres feuilles, que de celles du lierre qui les embraſſe, & pour le fruict qui leur manque, leurs branches ſont chargées de Tourtres, & de Faiſans en toutes les ſaiſons de l’année.	Les arbres y sont verts jusqu’à la racine, tant de leurs propres feuilles, que de celles du lierre qui les embrasse, et pour le fruit qui leur manque, leurs branches sont chargées de tourtes, et de faisans en toutes les saisons de l’année.
De là i’entre en vne prairie où ie marche ſur les Tulipes & les anemones, que i’ay fait meſler auec les autres fleurs pour voir ſi les Françoiſes ſeroient auſſi belles que les eſtrangeres.	De là j’entre en une prairie où je marche sur les Tulipes et les anémones, que j’ai fait mêler avec les autres fleurs pour voir si les Françaises seraient aussi belles que les étrangères.
Mais le plaiſir eſt que là dedans, & par tout où ie commande, il n’y a perſonne qui ne face l’amour librement ;	Mais le plaisir est que là dedans, et par tout où je commande, il n’y a personne qui ne face l’amour librement;
& quand ie voy d’vn coſté de l’herbe couchee par terre, & de l’autre des eſpics rẽuerſez, ie ſuis aſſuré que ce n’eſt ny le vent, ny la greſle qui ont fait cela, mais que c’eſt vn berger & vne bergere.	et quand je vois d’un côté de l’herbe couchée par terre, et de l’autre des épics renversés, je suis assuré que ce n’est ni le vent, ni la grêle qui ont fait cela, mais que c’est un berger et une bergère.
Or de quelque part que ie tourne les yeux en cette agreable ſolitude, ie trouue vne riuiere qui deuroit auoir autant de reputation que le Tage, & dans laquelle les animaux qui vont boire voyent le Ciel auſſi clairement que nous faiſons, & iouïſſent de l’auãtage qu’ailleurs les hommes leur veulent oſter.	Or de quelque part que je tourne les yeux en cette agréable solitude, je trouve une rivière qui devrait avoir autant de réputation que le Tage, et dans laquelle les animaux qui vont boire voient le Ciel aussi clairement que nous faisons, et jouissent de l’avantage qu’ailleurs les hommes leur veulent ôter.
Au reſte cette belle eau ayme tellement ce petit pays, qu’elle ſe diuiſe en mille branches, & fait vne infinité d’iſles & de deſtours afin de s’y amuſer dauantage, & quand elle ſe deſborde, ce n’eſt que pour rendre l’année plus riche, & pour nous faire prendre ſur la terre ſes truites & les brochets, qui meritent bien qu’elle n’enuie ny à la Mer ſes monſtres, ny au Nil ſes Crocodiles.	Au reste cette belle eau aime tellement ce petit pays, qu’elle se divise en mille branches, et fait une infinité d’iſles et de détours afin de s’y amuser davantage, et quand elle se déborde, ce n’est que pour rendre l’année plus riche, et pour nous faire prendre sur la terre ses truites et les brochets, qui méritent bien qu’elle n’envie ni à la Mer ses monstres, ni au Nil ses Crocodiles.
Le grand Duc d’Eſpernon eſt venu icy quelquefois changer de felicité, & laiſſer cette vertu ſeuere, & cét eſclat qui eſblouit tout le monde pour prendre des qualitez plus douces, & vne Maieſté plus tranquille :	Le grand Duc d’Épernon est venu ici quelquefois changer de félicité, et laisser cette vertu sévère, et cet éclat qui éblouit tout le monde pour prendre des qualités plus douces, et une Majesté plus tranquille:
Ce Cardinal dont le Ciel veut faire de ſi grandes choſes, & de qui ie vous parle tous les iours, apres auoir perdu ſon frere qui eſtoit tel, que s’il l’euſt choiſi entre tous les hommes, il n’en euſt pas pris vn autre ;	Ce Cardinal dont le Ciel veut faire de si grandes choses, et de qui je vous parle tous les jours, après avoir perdu son frère qui était tel, que s’il l’eût choisi entre tous les hommes, il n’en eût pas pris un autre;
apres auoir diſ-ie fait vne perte qui merita des larmes de la Reyne, vint icy chercher du ſoulagement, & receuoir des propres mains de Dieu qui ayme le ſilence, & qui habite la ſolitude, ce qui ne ſe trouue point dans les diſcours de la Philoſophie, ny dans la foule du monde.	après avoir dis-je fait une perte qui mérita des larmes de la Reine, vint ici chercher du soulagement, et recevoir des propres mains de Dieu qui aime le silence, et qui habite la solitude, ce qui ne se trouve point dans les discours de la philosophie, ni dans la foule du monde.
Ie vous apporterois d’autres exemples pour  vous monſtrer que mõ deſert a eſté de tout temps frequenté par des Hermites illuſtres, & que les traces des Princes & des grands Seigneurs ſont encore freſches dans mes allées ;	Je vous apporterais d’autres exemples pour  vous montrer que mon désert a été de tout temps fréquenté par des ermites illustres, et que les traces des Princes et des grands seigneurs sont encore fraîches dans mes allées;
mais afin de vous conuier d’y venir, ie penſe qu’il me ſuffit de vous dire que Virgile, & moy vous y attendons, & que ſi vous vous accompaignez en ce voyage de vos Muſes, & de vos papiers, nous n’aurons que faire pour nous entretenir des nouuelles de la Cour, ny des troubles d’Allemaigne ;	mais afin de vous convier d’y venir, je pense qu’il me suffit de vous dire que Virgile, et moi vous y attendons, et que si vous vous accompagnez en ce voyage de vos Muses, et de vos papiers, nous n’aurons que faire pour nous entretenir des nouvelles de la Cour, ni des troubles d’Allemagne;
ie meure ſi ie vis iamais rien de pareil à ce qui ſort des meditations de voſtre eſprit, & ſi la moindre partie de l’ouurage que vous m’auez monſtré ne vaut mieux que tout ce qu’ont fait les Hollandois, pourueu que vous en exceptiez les victoires du Prince d’Aurange.	je meure si je vis jamais rien de pareil à ce qui sort des méditations de votre esprit, et si la moindre partie de l’ouvrage que vous m’avez montré ne vaut mieux que tout ce qu’ont fait les Hollandais, pourvu que vous en exceptiez les victoires du Prince d’Orange.
Ie ſçay bien que Monſieur le Preſident de Thou, qui eſtoit auſſi digne iuge de l’eloquence Latine que de la vie & de la fortune des hommes, & qui nous auroit laiſſé vne Hiſtoire parfaite s’il en euſt voulu diminuer quelque choſe, faiſoit beaucoup de cas des gens de ce pais là ;	Je sais bien que Monsieur le Président de Thou, qui était aussi digne juge de l’éloquence Latine que de la vie et de la fortune des hommes, et qui nous aurait laissé une histoire parfaite s’il en eût voulu diminuer quelque chose, faisait beaucoup de cas des gens de ce pais là;
mais ſans mentir ie n’ay peu encore deuiner ce qui l’obligeoit d’aymer des eſprits cõtraires au ſien, qui ne connurent iamais, & ne ſe douterent pas ſeulement de cette pureté Romaine que vous recherchez auec des ſoins ſi ſcrupuleux, & vne diligence ſi exacte.	mais sans mentir je n’ai peu encore deviner ce qui l’obligeait d’aimer des esprits contraires au sien, qui ne connurent jamais, et ne se doutèrent pas seulement de cette pureté Romaine que vous recherchez avec des soins si scrupuleux, et une diligence si exacte.
