ARTICLE PREMIER	ARTICLE PREMIER
Permettes moy, je vous prie, que je die librement la verité.	Permettez-moi, je vous prie, que je dis librement la vérité.
Tous ces discours ressentent le mal de chaud ;	Tous ces discours ressentent le mal de chaud;
ce sont des songes qu’on faict en veilllant, qui ne valent pas celuy que Nabuchodonosor fit en dormant ;	ce sont des songes qu’on fait en veillant, qui ne valent pas celui que Nabuchodonosor fit en dormant;
aussy luy sont ilz du tout contraires, si nous croyons a l’interpretation de Daniel (Daniel 2, 34) :	aussi lui sont ils du tout contraires, si nous croyons à l’interprétation de Daniel (Daniel 2, 34):
car Nabuchodonosor vit une pierre taillëe d’un mont sans oeuvre de mains, qui vint roulant et renversa la grande statue, et s’accreut tellement que devenue montagne elle remplit toute la terre ;	car Nabuchodonosor vit une pierre taillée d’un mont sans œuvre de mains, qui vint roulant et renversa la grande statue, et s’accrut tellement que devenue montagne elle remplit toute la terre;
et Daniel l’entendit du royaume de Nostre Seigneur qui demeurera aeternellement (vers 44).	et Daniel l’entendit du royaume de Notre Seigneur qui demeurera éternellement (vers 44).
S’il est comm’une montaigne, et si grande qu’elle remplit la terre, comme sera elle invisible ou secrette ?	S’il est comme une montagne, et si grande qu’elle remplit la terre, comme sera elle invisible ou secrète?
et s’il dure aeternellement, comm’aura il manqué 1000 ans ?	et s’il dure éternellement, comme aura il manqué 1000 ans?
Et c’est bien du royaume de l’Eglise que s’entend ce passage :	Et c’est bien du royaume de l’Église que s’entend ce passage:
car 1.	car 1.
celuy de la triomphante remplira le ciel, non la terre seulement, et ne s’eslevera pas au tems des autres royaumes, comme porte l’interpretation de Daniel, mais apres la consommation du siecle ;	celui de la triomphante remplira le ciel, non la terre seulement, et ne s’élèvera pas au temps des autres royaumes, comme porte l’interprétation de Daniel, mais après la consommation du siècle;
joint que d’estre taillé de la montaigne sans oeuvre manuelle appartient a lgenration temporelle de Nostre Seigneur, selon laquelle il a esté conceu au ventre de la Vierge, engendré de sa propre substance sans oeuvre humayne, par la seule benediction du Saint Esprit.	joint que d’être taillé de la montagne sans œuvre manuelle appartient à la génération temporelle de Notre Seigneur, selon laquelle il a été conçu au ventre de la Vierge, engendré de sa propre substance sans œuvre humaine, par la seule bénédiction du Saint Esprit.
Ou donques Daniel a mal deviné, ou les adversaires de l’Eglise Catholique, quand ilz disoyent l’Eglis’estre invisible, cachêe et abolie.	Ou donc Daniel a mal deviné, ou les adversaires de l’Église Catholique, quand ils disaient l’Église être invisible, cachée et abolie.
Ayes patience, au nom de Dieu ;	Ayez patience, au nom de Dieu;
nous irons par ordre et briefvement, monstrant la vanité de ces opinions.	nous irons par ordre et brièvement, montrant la vanité de ces opinions.
Mays il faut avant tout dire que c’est qu’Eglise.	Mais il faut avant tout dire que c’est qu’Église.
Eglise vient du mot grec qui veut dire, appeler ;	Église vient du mot grec qui veut dire, appeler;
Eglise donques signifie un’assemblëe ou compaignie de gens appellés :	Église donc signifie une assemblée ou compagnie de gens appelés:
Sinagogue veut dire un troupeau, a proprement parler.	Synagogue veut dire un troupeau, à proprement parler.
L’assemblëe des juifz s’appellloyt Sinagogue, celle des Chrestiens s’appelle Eglise :	L’assemblée des juifs s’appelait Synagogue, celle des Chrétiens s’appelle Église:
par ce que les Juifz estoyent comm’un troupeau de bestail, asemblé et entroupelé par crainte, les Chrestiens sont assemblés par la Parole de Dieu, appellés ensembleen union de charité par la praedication des Apostres et leurs successeurs ;	parce que les Juifs étaient comme un troupeau de bétail, assemblé et entroupelé par crainte, les Chrétiens sont assemblés par la Parole de Dieu, appelés ensemble en union de charité par la prédication des Apôtres et leurs successeurs;
dont saint Augustin a dict :	dont saint Augustin a dit:
