A MONSEIGNEUR Mᵍⁿᵉᵘʳ. 	À MONSEIGNEUR MONSEIGNEUR. 
ne ſachant toutes-fois aucun Autheur duquel nous puiſſions apprendre l’ordre qui eſtoit établi en ces Coſtes Occidentales, & qui eſtoient les plus puiſſans & les plus redoutables, nous ſommes contraints de nous contenter de ce qu’il ſe trouve couché par les Grecs ſur ce ſujet, touchant les coſtes de la Mer Mediterranée. 	ne sachant toutefois aucun Auteur duquel nous puissions apprendre l'ordre qui était établi en ces Côtes Occidentales, et qui étaient les plus puissants et les plus redoutables, nous sommes contraints de nous contenter de ce qu'il se trouve couché par les Grecs sur ce sujet, touchant les côtes de la Mer Méditerranée. 
Nous ne ſçavons perſonne qui avant Semiramis ſe ſoit rendue conſiderable ſur Mer, ſelon le rapport de Diodore, & de Suidas, qui nous aſſeurent que cette Princeſſe voulant conquerir l’Inde, fit baſtir à Bactres trois mille Navires, en fagot, c’eſt à dire qui ſe pouvoient demonter, pour les tranſporter par terre ſur des chameaux, ſur le fleuve Indus, & que pour les conduire elle fit lever des gens de Mer en Syrie, Phœnicie, Egypte, Cypre, Cilicie, & autres Païs juſques en l’Heleſpont. 	Nous ne savons personne qui avant Semiramis se soit rendue considérable sur Mer, selon le rapport de Diodore, et de Suidas, qui nous assurent que cette Princesse voulant conquérir l'Inde, fit bâtir à Bactres trois mille Navires, en fagot, c'est à dire qui se pouvaient démonter, pour les transporter par terre sur des chameaux, sur le fleuve Indus, et que pour les conduire elle fit lever des gens de Mer en Syrie, Phénicie, Égypte, Chypre, Cilicie, et autres Pays jusques en l'Hellespont. 
Cette Reine donna Bataille ſur le fleuve Indus, & defit l’Armée navalle du Roy Stabrobates, & y enfonca mille Navires Indiens l’an 1963. avant la naiſſance de noſtre Seigneur. 	Cette Reine donna Bataille sur le fleuve Indus, et défit l'Armée navale du Roi Stabrobates, et y enfonça mille Navires Indiens l'an 1963. avant la naissance de notre Seigneur. 
Entre les Grecs le plus ancien que nous ayons pû trouver, dut Thucydide au l. eſt Minos, fils de Jupiter Roy de Candie, & d’Europe fille d’Agenor Roy de Tyr. 	Entre les Grecs le plus ancien que nous ayons pu trouver, dut Thucydide au l. est Minos, fils de Jupiter Roi de Candie, et d'Europe fille d'Agenor Roi de Tyr. 
Ce Prince (l’étonnement & l’admiration de toute la terre pour ſa beauté, le modele des grands Capitaines pour ſes proüeſſes, & le flambeau des Politiques pour ſes belles Loix, & Vertus moralles) devint ſi puiſſant en peu d’années, qu'il ſe rendit Maiſtre de la Mer Grecque, & dés iſles Cyclades (qui tiennent le milieu de l’Archipel) où il envoya des Colonies, y eſtablit pour Princes ſes enfans, fit la guerre aux Corſaires, afin que ſes revenus puſſent arriver ſans danger en Crete, où il établit ſa demeure. 	Ce Prince (l'étonnement et l'admiration de toute la terre pour sa beauté, le modele des grands Capitaines pour ses prouesses, et le flambeau des Politiques pour ses belles Lois, et Vertus morales) devint si puissant en peu d'années, qu'il se rendit Maître de la Mer Grecque, et dés isles Cyclades (qui tiennent le milieu de l'Archipel) où il envoya des Colonies, y établit pour Princes ses enfants, fit la guerre aux Corsaires, afin que ses revenus pussent arriver sans danger en Crète, où il établit sa demeure. 
Il rangea à ſa devotion les Atheniens, & toutes les Coſtes des Mers voiſines furent la matiere & le prix de ſes victoires, & y donna des Loix qui furent en tres-grande veneration à la poſterité juſques au temps de Cæcilius Metellus, qui triompha de Crete, au rapport d’Eutrope en ſon livre 6. 	Il rangea à sa dévotion les Athéniens, et toutes les Côtes des Mers voisines furent la matière et le prix de ses victoires, et y donna des Lois qui furent en très-grande vénération à la  postérit jusques au temps de Caecilius Metellus, qui triompha de Crète, au rapport d'Eutrope en son livre 6. 
Ce Minos au dire d’Euſebe en ſa Chronique regna environ l’an 1403. avant l’Incarnation de N. 	Ce Minos au dire d'Eusèbe en sa Chronique régna environ l'an 1403. avant l'Incarnation de N. 
S. comme auſſi Triptolemus Marchand de bled, lequel en ayant tranſporté par les Villes maritimes dans une Galere qui avoit ſon eſperon fait en teſte de Serpent, le gouvernail reſſemblant à la queuë, & les avirons aux nageoires, bailla occaſions à la fable des Serpens aiſlez. 	S. comme aussi Triptolemus Marchand de blé, lequel en ayant transporté par les Villes maritimes dans une Galère qui avait son éperon fait en tête de Serpent, le gouvernail ressemblant à la queue, et les avirons aux nageoires, bailla occasions à la fable des Serpents ailés. 
Je ne veux pas toutes-fois ſoûtenir, que ceux de Crete ayent tout ce temps là eſté Maiſtres de ces Mers. 	Je ne veux pas toutefois soutenir, que ceux de Crète aient tout ce temps là été Maîtres de ces Mers. 
Car l’on remarque qu’environ cent ans aprés la mort de Minos, Teucer eſtant ſorti de Crete pour venir en la petite Aſie, ſon fils Dardanus, ayant judicieuſement reconnu qu’il n’euſt ſceu trouver lieu plus propre à fortifier, pour ſe rendre Maiſtre de la Mer, que le détroit de l’Helleſpont, baſtit au pied du Mont Ida ſur le bord de la Mer, en un lieu où l’Aſie n'eſt éloignée de l’Europe que de 1500. pas, une ville à laquelle il donna ſon nom, & de laquelle ce détroit eſt encor nommé Dardanelles, où ſont les anciennes villes de Seitos & d’Abydos, pres deſquelles Xerxes Roy des perſes fit paſſer ſon armée ſur un pont fait de bateaux, & de navires enchaiſnez, pour aller conqueſter la Grece. 	Car l'on remarque qu'environ cent ans après la mort de Minos, Teucer étant sorti de Crète pour venir en la petite Asie, son fils Dardanus, ayant judicieusement reconnu qu'il n'eût su trouver lieu plus propre à fortifier, pour se rendre Maître de la Mer, que le détroit de l'Hellespont, bâtit au pied du Mont Ida sur le bord de la Mer, en un lieu où l'Asie n'est éloignée de l'Europe que de 1500. pas, une ville à laquelle il donna son nom, et de laquelle ce détroit est encore nommé Dardanelles, où sont les anciennes villes de Seitos et d'Abydos, près desquelles Xerxès Roi des perses fit passer son armée sur un pont fait de bateaux, et de navires enchaînez, pour aller conquête la Grèce. 
De ces Dardaniens ſortirent ceux qui peu aprés fonderent le Royaume de Troye, qui dura preſque 200. ans juſques à ce que Paris ayant abordé à Sparte avec ſa Flotte, & enlevé Helene femme de Menelaus ſon hoſte, ſur cauſe de cette guerre ſi fameuſe que luy declara Agamemnon, lequel avant aſſemblé une puiſſante Flotte aſſiegea Troye & par Mer & par Terre, & au bout de dix ans la prit & la raſa. 	De ces Dardaniens sortirent ceux qui peu après fondèrent le Royaume de Troye, qui dura presque 200. ans jusques à ce que Pâris ayant abordé à Sparte avec sa Flotte, et enlevé Hélène femme de Ménélaus son hôte, sur cause de cette guerre si fameuse que lui déclara Agamemnon, lequel avant assemblé une puissante Flotte assiegea Troye et par Mer et par Terre, et au bout de dix ans la prit et la rasa. 
Homere conte en cette Flotte iuſques à 1186. 	Homère conte en cette Flotte jusques à 1186. 
Navires;	Navires;
Dares 1140. 	Dares 1140. 
Dion 1200. le Scoliaſte d’Euripide 1170. mais Virgile pour faire un conte rond n’en rapporte que 1000. au 7. l. de l'Eneide. 	Dion 1200. le Scoliaste d'Euripide 1170. mais Virgile pour faire un conte rond n'en rapporte que 1000. au 7. l. de l'Énéide. 
Du depuis les Grecs, quoy que victorieux, ayans fait naufrage en leur retour, & perdu la pluſpart de leurs vaiſſeaux, & Agamemnon ayant eſté tué malheureuſement dans le ſein de ſa femme;	Du depuis les Grecs, quoi que victorieux, ayant fait naufrage en leur retour, et perdu la plupart de leurs vaisseaux, et Agamemnon ayant été tué malheureusement dans le sein de sa femme;
les Lydiens, Meoniens, & ceux de Chio, voiſins des Troyens, ſe fortifierent ſur Mer, & s’y rendirent ſi redoutables, & ſi puiſſans, qu'au recit d’Euſebe, ils hauſſerent le pavillon, devant lequel un chacun caloit les voiles, & ſe maintinrent en cét eſtat prés de cent ans, juſques à ce que les Grecs Pelagiens (qui demeuroient en la rive oppoſée ſur les extremités de la Macedoine, & les bords de la Theſſalie) emporterent cét honneur apres avoir remporté ſur leurs ennemis pluſieurs victoires, & le conſerverent vaillamment l’eſpace de 85. ans, ſelon l’opinion d’Euſebe, mille ans avant la naiſſance de Chriſt, lors que Salomon commença à regner. 	les Lydiens, Meoniens, et ceux de Chio, voisins des Troyens, se fortifièrent sur Mer, et s'y rendirent si redoutables, et si puissants, qu'au récit d'Eusèbe, ils haussèrent le pavillon, devant lequel un chacun caloit les voiles, et se maintinrent en cet état près de cent ans, jusques à ce que les Grecs Pelagiens (qui demeuraient en la rive opposée sur les extrémités de la Macedoine, et les bords de la Thessalie) emportèrent cet honneur après avoir remporté sur leurs ennemis plusieurs victoires, et le conservèrent vaillamment l'espace de 85. ans, selon l'opinion d'Eusèbe, mille ans avant la naissance de Christ, lors que Salomon commença à régner. 
Le méme Euſebe tranſporte aprés tout le Commerce, la Navigation, & Seigneurie de la Mer en Thrace, c’eſt à dire en la Coſte Septentrionale de la Mer Egée, où elle dura 89. ans, ſi nous croyons Caſaubon en ſes Notes ſur Polybe, ce quil tomberoit ſous le regne de Jeroboan, environ l’an du Monde 2969. 	Le même Eusèbe transporte après tout le Commerce, la Navigation, et Seigneurie de la Mer en Thrace, c'est à dire en la Coste Septentrionale de la Mer Egée, où elle dura 89. ans, si nous croyons Casaubon en ses Notes sur Polybe, ce quil tomberait sous le règne de Jeroboan, environ l'an du Monde 2969. 
Quelque temps auparavant David fit baſtir une Flotte de Vaiſſeaux à Achana ville d'Arabie, laquelle il envoya tous les ans en l’Iſle d’Urphen, ſituée en la Mer Rouge, pour en rapporter en Judée une grande quantité d’or;	Quelque temps auparavant David fit bâtir une Flotte de Vaisseaux à Achana ville d'Arabie, laquelle il envoya tous les ans en l'Île d'Urphen, située en la Mer Rouge, pour en rapporter en Judée une grande quantité d'or;
& non de merveille (diſent Eupolemus & Euſebe) s'il laiſſa à ſon fils Salomon pour la ſeule edification du Temple cent mille talents d’or, & mille mille talents d’argent, outre un tres grand nombre de pierres precieuſes de toutes ſortes (laquelle ſomme revient à trois mille millions d’or à noftre acon de conter) & s’il fit enfermer dans ſon Sepulcre, qui comprenoit huit cellules, ſelon Comeſtor, encore une pareille, ou plus grande ſomme. 	et non de merveille (disent Eupolemus et Eusèbe) s'il laissa à son fils Salomon pour la seule edification du Temple cent mille talents d'or, et mille mille talents d'argent, outre un très grand nombre de pierres précieuses de toutes sortes (laquelle somme revient à trois mille millions d'or à noftre acon de conter) et s'il fit enfermer dans son Sépulcre, qui comprenait huit cellules, selon Comestor, encore une pareille, ou plus grande somme. 
Salomon ayant receu de Dieu le pretieux threſor de la Sageſſe, luy voulant rendre ſes devoirs, jetta les fondemens d'un Temple qu’il projetta de faire le plus admirable qui jamais fut veu en terre, & rendre ſon peuple le plus riche, & le plus aiſé qui pour lors fut au monde, au lieu de le charger de tailles & de gabelles à l’imitation de ſon pere David. 	Salomon ayant reçu de Dieu le précieux trésor de la Sagesse, lui voulant rendre ses devoirs, jeta les fondements d'un Temple qu'il projeta de faire le plus admirable qui jamais fut vu en terre, et rendre son peuple le plus riche, et le plus aisé qui pour lors fut au monde, au lieu de le charger de tailles et de gabelles à l'imitation de son père David. 
Et ainſi il delibera par le moyen de la Navigation de transporter en ſon païs tout ce qu'il y avoit de riche, & de rare connu parmi l'Univers. 	Et ainsi il délibéra par le moyen de la Navigation de transporter en son pays tout ce qu'il y avait de riche, et de rare connu parmi l'Univers. 
A cette occaſion, il tint grand cas des Tyriens, les meilleurs Navigateurs de ſon ſiecle, qui ne trafiquoient pas ſeulement ſur la Mediterranée, mais encore par tout l'Orient, par le moyen des Flottes qu’ils tenoient ſur la Mer rouge és ports de l’Idumée, quoy que ſujette aux Rois de Juda. 	À cette occasion, il tint grand cas des Tyriens, les meilleurs Navigateurs de son siècle, qui ne trafiquaient pas seulement sur la Méditerranée, mais encore par tout l'Orient, par le moyen des Flottes qu'ils tenaient sur la Mer rouge és ports de l'Idumée, quoi que sujette aux Rois de Juda. 
Il choiſit pour ſon Arcenal de la Marine, Joppe pour la Mediteranée, & Aſiongaber ſur la Mer rouge, pour les voyages d’Ophir. 	Il choisit pour son Arsenal de la Marine, Joppe pour la Mediteranée, et Asiongaber sur la Mer rouge, pour les voyages d'Ophir. 
Ce qui l’obligea de preferer ce lieu à tout autre, fut la quantité de bois propre à baſtir des Vaiſſeaux, qui s’y trouvoit fort à propos. 	Ce qui l'obligea de préférer ce lieu à tout autre, fut la quantité de bois propre à bâtir des Vaisseaux, qui s'y trouvait fort à propos. 
Ayant donc fait faire en ce lieu pluſieurs Navires, & n’ayant aſſez de gens pour les equiper, il en emprunta du Roy Hiram, voire fit tant que les Flottes des Tyriens, & des Phœniciens allerent de compagnie tous les ans en Ophir avec la ſienne. 	Ayant donc fait faire en ce lieu plusieurs Navires, et n'ayant assez de gens pour les équiper, il en emprunta du Roi Hiram, voire fit tant que les Flottes des Tyriens, et des Phéniciens allèrent de compagnie tous les ans en Ophir avec la sienne. 
Sa curioſité eſtoit ſi grande qu’il vouſoit luy méme voir ſa Flotte avant que de partir, & ſe tranſportoit pour ce ſujet en Aſiongaber, & inſtruiſoit amplement les Pilotes, & Mariniers de ſon deſſein, & de tout ce qui pouvoit leur eſtre utile pour faire une heureuſe Navigation, leur declarant en vertu de la ſageſſe, & connoiſſance de toutes choſes qu’il avoit receuë de Dieu, quels vents regnoient en châque ſaiſon par toutes les plages, le moyen, & l’induſtrie de s’en ſervir avec avantage, les vertus, & propriétés admirables de l’Aimant, la façon de ſe conduire par tout par le moyen de la Bouſſole (qui n’eſt pas une invention des derniers ſiecles comme aucuns diſent) les courants qui ſe trouvent en divers endroits, les rades où ils pourroient s’arreſter, & faire aiguade, la qualité & condition des lieux où ils devoient aborder. 	Sa curiosité était si grande qu'il vousoit lui même voir sa Flotte avant que de partir, et se transportait pour ce sujet en Asiongaber, et instruisoit amplement les Pilotes, et Mariniers de son dessein, et de tout ce qui pouvait leur être utile pour faire une heureuse Navigation, leur déclarant en vertu de la sagesse, et connaissance de toutes choses qu'il avait reçue de Dieu, quels vents régnaient en chaque saison par toutes les plages, le moyen, et l'industrie de s'en servir avec avantage, les vertus, et propriétés admirables de l'Aimant, la façon de se conduire par tout par le moyen de la Boussole (qui n'est pas une invention des derniers siècles comme aucuns disent) les courants qui se trouvent en divers endroits, les rades où ils pourraient s'arrêter, et faire aiguade, la qualité et condition des lieux où ils devaient aborder. 
Bref, il n’oublia rien de ce qui pouvoit leur donner quelque addreſſe, ou ſoulagement;	Bref, il n'oublia rien de ce qui pouvait leur donner quelque adresse, ou soulagement;
ſa ſageſſe, & la connoiſſance qu’il avoit puiſée du Ciel luy fourniſſant, & ſuggerant tout ce qui eſtoit neceſſaire en cette matiere, de ſorte qu’il ne faut s’étonner ſi leurs voyages eſtoient ſi heureux, que ſans manquer il partoit tout les ans une flotte & en revenoit un autre, qui luy rapportoit plus de ſix cens talents d'or, & toute ſorte de bois exquis, yvoire, & choſes ſemblables, outre que les phœniciens, & autres marchands apportoient pour eux. 	sa sagesse, et la connaissance qu'il avait puisée du Ciel lui fournissant, et suggérant tout ce qui était nécessaire en cette matière, de sorte qu'il ne faut s'étonner si leurs voyages étaient si heureux, que sans manquer il partait tout les ans une flotte et en revenait un autre, qui lui rapportait plus de six cents talents d'or, et toute sorte de bois exquis, ivoire, et choses semblables, outre que les phéniciens, et autres marchands apportaient pour eux. 
Le bonheur qui accompagna touſiours cette Flotte, ſans que nous ſachions que jamais il ſoit arrivé quelqude malheur à aucun des Vaiſſeaux, fait que nous ne pouvons douter des inſtructions qu’il leur donnoit, & donne occaſion de croire que tout l’ordre, connoiſſance, & police Navale qui depuis fut gardée par les Mariniers, vient originairement de Salomon, & c’eſt l’Opinion de Pineda au l.4. de rebus Salomonis. 	Le bonheur qui accompagna toujours cette Flotte, sans que nous sachions que jamais il soit arrivé quelqude malheur à aucun des Vaisseaux, fait que nous ne pouvons douter des instructions qu'il leur donnait, et donne occasion de croire que tout l'ordre, connaissance, et police Navale qui depuis fut gardée par les Mariniers, vient originairement de Salomon, et c'est l'Opinion de Pineda au l.4. de rebus Salomonis. 
Les Rhodiens devinrent peu aprés ſi puiſſans ſur Mer, que les Thraces furent contraints de leur ceder, ſelon Strabon, qui dit que Rhodes fur fort long temps Maiſtreſſe de la Mer, & qu'elle la nettoya de Pirates, & ſe conſerva tousjours en l'amitié des Romains, & des autres Rois, qui la laiſſerent vivre en ſa liberté avec des prerogatives tres-honnorables;	Les Rhodiens devinrent peu après si puissants sur Mer, que les Thraces furent contraints de leur céder, selon Strabon, qui dit que Rhodes fur fort long temps Maîtresse de la Mer, et qu'elle la nettoya de Pirates, et se conserva toujours en l'amitié des Romains, et des autres Rois, qui la laissèrent vivre en sa liberté avec des prerogatives très-honorables;
en ſorte qu’il faut que toutes les Nations confeſſent que toutes les meilleures Loix Navales ſortent de ſes murailles. 	en sorte qu'il faut que toutes les Nations confessent que toutes les meilleures Lois Navales sortent de ses murailles. 
Les Phrygiens, au dire d’Euſebe, ſuivirent les Rhodiens, & tinrent l'Empire de la Mer 25. ans. 	Les Phrygiens, au dire d'Eusèbe, suivirent les Rhodiens, et tinrent l'Empire de la Mer 25. ans. 
Ce qui arriva environ le temps de Licurgue. 	Ce qui arriva environ le temps de Lycurgue. 
Les Cypriots vinrent aprés, furent Maiſtres à leur tour, & redoutables un peu plus de 20. ans du regne du Roy Joas. 	Les Cypriots vinrent après, furent Maîtres à leur tour, et redoutables un peu plus de 20. ans du règne du Roi Joas. 
Les Phœniciens eurent auſſi pour quelque temps la Seigneurie de la Mer:	Les Phéniciens eurent aussi pour quelque temps la Seigneurie de la Mer:
& bien qu’Euſebe ne les mette que les ſeptiémes en ordre, il n'y a toutesfois aucune Nation, des Navigations de laquelle il ſoit faite plus ancienne, & plus honnorable mention dans les Eſcritures Saintes ou profanes que de ces Peuples. 	et bien qu'Eusèbe ne les mette que les septièmes en ordre, il n'y a toutefois aucune Nation, des Navigations de laquelle il soit faite plus ancienne, et plus honorable mention dans les Écritures Saintes ou profanes que de ces Peuples. 
Ce ſont (diſent aucuns) les plus anciens Mariniers du monde:	Ce sont (disent aucuns) les plus anciens Mariniers du monde:
de tout temps (diſent quelques autres) ils ont ſecouru de Navires, de Chefs, & de Matelots, tous les Eſtats qui en ont eu beſoin. 	de tout temps (disent quelques autres) ils ont secouru de Navires, de Chefs, et de Matelots, tous les États qui en ont eu besoin. 
Ce ſont eux qui ont ouvert le trafic, qui ont entrepris les voyages de long cours, ſe jettans en Mer, ſe conduiſans par la hauteur, & par l’aſpect des Aſtres, ſans ranger les coſtes, comme faiſoient tous les autres. 	Ce sont eux qui ont ouvert le trafic, qui ont entrepris les voyages de long cours, se jetant en Mer, se conduisant par la hauteur, et par l'aspect des Astres, sans ranger les côtes, comme faisaient tous les autres. 
Bref, ce ſont eux qui ont envoyé des Peuplades, & Colonies en toute les parties du monde, ſpecialement à Utique, Lepte, & en divers autres endroits de l’Afrique, de l’Egypte, de la Grece, & des Eſpagnes, & ſur tout qui ont fondé la ville de Carthage qui par ſon commerce ſe rendit à la fin ſi belle, & ſi redoutable, qu’elle donnoit à toutes les autres villes de l'admiraton & de la crainte, juſques à la que ſa puiſſance égala celle des Grecs, & ſes richeſſes ne furent pas moindres que celles des Perſes. l'Egypte ſucceda au pouvoir des Phœniciens environ les regnes des Rois Pſammide, & Bocchoride, qui precederent de fort peu le commencement des Olympiades. 	Bref, ce sont eux qui ont envoyé des Peuplades, et Colonies en toute les parties du monde, spécialement à Utique, Lepte, et en divers autres endroits de l'Afrique, de l'Égypte, de la Grèce, et des Espagnes, et sur tout qui ont fondé la ville de Carthage qui par son commerce se rendit à la fin si belle, et si redoutable, qu'elle donnait à toutes les autres villes de l'admiraton et de la crainte, jusques à la que sa puissance égala celle des Grecs, et ses richesses ne furent pas moindres que celles des Perses. l'Égypte succéda au pouvoir des Phéniciens environ les règnes des Rois Psammide, et Bocchoride, qui précédèrent de fort peu le commencement des Olympiades. 
Les Mileſiens ſe rendirent redoutables vers le temps de Romule, baſtirent Sinope dans le Pont Euxin, prirent les païs de la Colchyde le long du Phaſe, & ſe monſtrerent fort coutrois & humains, particulierement envers ceux qui faiſoient naufrage, leur donnant de l’argent pour ſe retirer au païs de leur naiſſance. 	Les Milesiens se rendirent redoutables vers le temps de Romule, bâtirent Sinope dans le Pont Euxin, prirent les pays de la Colchyde le long du Phase, et se montrèrent fort coutrois et humains, particulièrement envers ceux qui faisaient naufrage, leur donnant de l'argent pour se retirer au pays de leur naissance. 
Les Cariens environ le regne d'Ezechias furent puiſſans, ſelon le rapport d'Euſebe & de Diodore. 	Les Cariens environ le règne d'Ezechias furent puissants, selon le rapport d'Eusèbe et de Diodore. 
Ceux de Phocée furent en credit environ le temps de la captivité de Babylone, & retinrent leur pouvoir prés de 44. ans. 	Ceux de Phocée furent en crédit environ le temps de la captivité de Babylone, et retinrent leur pouvoir près de 44. ans. 
Ceux de Corinthe ſont connus d'un chacun. 	Ceux de Corinthe sont connus d'un chacun. 
Thucydide en ſon livre I. dit merveile de leur puiſſance Navale, & du bon ordre qu’ils apporterent pour purger la Mer de Pyrates. 	Thucydide en son livre I. dit merveille de leur puissance Navale, et du bon ordre qu'ils apportèrent pour purger la Mer de Pirates. 
Les Joniens furent quelque temps Maiſtres de la Mer qui leur eſtoit voiſine, au rapport de Thucydide en ſon livre 1. 	Les Ioniens furent quelque temps Maîtres de la Mer qui leur était voisine, au rapport de Thucydide en son livre 1. 
Et méme ils oſerent avec 263. 	Et même ils osèrent avec 263. 
Galeres attaquer la Flotte du Roy Cyrus compoſée de 600. 	Galères attaquer la Flotte du Roi Cyrus composée de 600. 
Galeres, apres la deroute de laquelle ils mirent à feu & à ſang pluſieurs villes de Perſe & entr’autres celle de Sardes;	Galères, après la déroute de laquelle ils mirent à feu et à sang plusieurs villes de Perse et entre autres celle de Sardes;
Mais à la fin ils furent humiliez par Darius. 	Mais à la fin ils furent humiliés par Darius. 
Ceux de Naxos furent redoutés du temps de Cambyſes, comme auſſi les Eginetes, ſelon Euſebe, & Strabon. 	Ceux de Naxos furent redoutés du temps de Cambyses, comme aussi les Éginètes, selon Eusèbe, et Strabon. 
Mais il faut remarquer que lors qu'Euſebe, ou autres Autheurs recitent que ces Peuples, dont je viens de parler, ont obtenu l'Empire de la Mer certain temps, cela ne ſe doit pas entendre, comme ſi en effet ils ſe l’euſſent tellement renduë propre, qu’il n'eut eſté permis aux autres Nations d’y voguer ſans leur permiſſion;	Mais il faut remarquer que lors qu'Eusèbe, ou autres Auteurs récitent que ces Peuples, dont je viens de parler, ont obtenu l'Empire de la Mer certain temps, cela ne se doit pas entendre, comme si en effet ils se l'eussent tellement rendue propre, qu'il n'eut été permis aux autres Nations d'y voguer sans leur permission;
Car cela eut repugné au droit de Nature, & des Gents. 	Car cela eut répugné au droit de Nature, et des Gens. 
Ils veulent donc ſeulement dire que ce pouvoir attribué en divers temps à ces peuples ne conſiſtoit qu’en un credit qu’ils acqueroient, pour avoir eu de bons vaiſſeaux, entretenu la liberté du negoce, & exterminé les Pyrates de leurs Coſtes, ſans toutesfois donner de la jalouſie aux Princes voiſins, qui ſans doute les euſſent bien diſputez une telle ſouveraineté. 	Ils veulent donc seulement dire que ce pouvoir attribué en divers temps à ces peuples ne consistait qu'en un crédit qu'ils acquéraient, pour avoir eu de bons vaisseaux, entretenu la liberté du négoce, et exterminé les Pirates de leurs Côtes, sans toutefois donner de la jalousie aux Princes voisins, qui sans doute les eussent bien disputés une telle souveraineté. 
Que ne liſons nout pas encore dans Herodote, Pauſanias, Lyſias, Suidas, Diodore, Plutarque, Emilius, C. 	Que ne lisons nout pas encore dans Hérodote, Pausanias, Lysias, Suidas, Diodore, Plutarque, Emilius, C. 
Nepos, Juſtin, Polybe, Zonaras, & autres Hiſtoriens de la puiſſance des Anciens ?	Nepos, Justin, Polybe, Zonaras, et autres Historiens de la puissance des Anciens?
Les Perſes avec 800. 	Les Perses avec 800. 
Galeres defirent Hiſtæus Prince des Mileſiens, & Ariſtagoras. 	Galères defirent Histaeus Prince des Milésiens, et Aristagoras. 
Mardonius envoyé par Darius pour ſubjuguer les Atheniens perdit en une tempeſte plus de 300. 	Mardonius envoyé par Darius pour subjuguer les Athéniens perdit en une tempête plus de 300. 
Galeres. 	Galères. 
Darius faiſant peu de cas de cette diſgrace, fit equiper à la haſte 600. autres Galeres, ſur leſquelles il embarqua plus de deux cens mille hommes, qui furent entierement desfaits à Marathon par Miltiades. 	Darius faisant peu de cas de cette disgrâce, fit équiper à la haste 600. autres Galères, sur lesquelles il embarqua plus de deux cents mille hommes, qui furent entièrement défaits à Marathon par Miltiadês. 
Xerxes fils de Darius voulant porter la terreur, ou l’obeïſſance par toute l’Europe auſſi bien que dans la Grece, fit alliance avec les Carthaginois qui luy fournirent 200. vaiſſeaux & trois cens mille hommes, & en leva dans ſes propres terres huit cens mille autres, equipa douze cens Galeres, huit cens cinquante Hyppogognes (vaiſſeaux deſtinez à potrer des chevaux) outre trois milles autres Navires;	Xerxès fils de Darius voulant porter la terreur, ou l'obéissance par toute l'Europe aussi bien que dans la Grèce, fit alliance avec les Carthaginois qui lui fournirent 200. vaisseaux et trois cents mille hommes, et en leva dans ses propres terres huit cents mille autres, équipa douze cents Galères, huit cents cinquante Hyppogognes (vaisseaux destinez à potrer des chevaux) outre trois milles autres Navires;
de ſorte qu’il y avoit dans la ſeule armée de ce Monarque cinq millions deux cens trente-cinq mille deux cens vingt & deux perſonnes, dont la pluspart furent ruinées par Themiſtocles. 	de sorte qu'il y avait dans la seule armée de ce Monarque cinq millions deux cents trente-cinq mille deux cents vingt et deux personnes, dont la plupart furent ruinées par Themistocles. 
Peu de temps apres Cimon fils de Miltiades avec une flotte de 250. 	Peu de temps après Cimon fils de Miltiadês avec une flotte de 250. 
Navires defit proche de Cypre 340. vaiſſeaux des perſes, & les fit condeſcendre par un autre combat plus ſanglant à des conditions tres-honteuſes. 	Navires défit proche de Chypre 340. vaisseaux des perses, et les fit condescendre par un autre combat plus sanglant à des conditions très-honteuses. 
Les Atheniens apres la mort de Cimon equiperent 400. 	Les Athéniens après la mort de Cimon équipèrent 400. 
Galeres, leſquelles furent battuës par les Lacedemoniens. 	Galères, lesquelles furent battues par les Lacédémoniens. 
Alexandre le Grand apres avoir mis en deroute, toute l’armée de Darius compoſée de cinq cens mille hommes, & avoir ſubjugué toute la Perſe 333. avant la naiſſance de N. 	Alexandre le Grand après avoir mis en déroute, toute l'armée de Darius composée de cinq cents mille hommes, et avoir subjugué toute la Perse 333. avant la naissance de N. 
S. dreſſa auſſi une puiſſante armée navale compoſée de 1200. 	S. dressa aussi une puissante armée navale composée de 1200. 
Galeres conduites par Nearchus, Oneſicrite, Beton, Diognet & autres genereux Capitaines, par les ſoins deſquels il découvit la pluſpart de l'Orient, & arbora ſes étendars dans l’Inde. 	Galères conduites par Nearchus, Onésicrite, Beton, Diognète et autres généreux Capitaines, par les soins desquels il découvit la plupart de l'Orient, et arbora ses étendards dans l'Inde. 
En méme temps il rompit la Flotte de Memnon en la Mediterranée;	En même temps il rompit la Flotte de Memnon en la Méditerranée;
les Macedoniens deffirent les Grecs, & les Atheniens furent contraints de recevoir les loix d’Antipater, & de Nicanor, apres avoir veu la ruine de leurs flottes. 	les Macédoniens défirent les Grecs, et les Athéniens furent contraints de recevoir les lois d'Antipater, et de Nicanor, après avoir vu la ruine de leurs flottes. 
