MEMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIERE.	MÉMOIRES DE LA VIE DE HENRIETTE-SYLVIE DE MOLIÈRE.
Et quoy que je previſſe que j’aurois bien de la peine à obſerver ce que je luy promettrois :	Et quoique je prévisse que j’aurais bien de la peine à observer ce que je lui promettrais :
je luy promis neanmoins de faire tout ce qu’elle me commandoit, afin qu’elle ne prit pas le party de m’éloigner.	je lui promis néanmoins de faire tout ce qu’elle me commandait, afin qu’elle ne prit pas le parti de m’éloigner.
Ce ne fut pas ſans cauſer de grands chagrins au jeune Comte qui ne pouvoit deviner la cauſe de mon changement.	Ce ne fut pas sans causer de grands chagrins au jeune Comte qui ne pouvait deviner la cause de mon changement.
Il voulut cent fois m’en demander le ſujet ;	Il voulut cent fois m’en demander le sujet ;
mais j’eſtois toûjours ſi bien obſervée, tantoſt par Birague, & tantoſt par la mere, que je n’oſay jamais luy en parler, quelque envie que j’en euſſe ;	mais j’étais toujours si bien observée, tantôt par Birague, et tantôt par la mère, que je n’osai jamais lui en parler, quelque envie que j’en eusse ;
Et luy qui prenoit celà pour un mépris, en paſſa juſques à un tel deſeſpoir, qu’il en fut dangereuſement malade.	Et lui qui prenait cela pour un mépris, en passa jusqu’à un tel désespoir, qu’il en fut dangereusement malade.
C’eſt icy ;	C’est ici ;
Madame, que je me diſpenſerois volontiers de la loy que je me ſuis faite, de dire beaucoup de choſe en peu de mots ;	Madame, que je me dispenserais volontiers de la loi que je me suis faite, de dire beaucoup de choses en peu de mots ;
pour étendre le recit de cét amour qui eſt encore cher à mon ſouvenir.	pour étendre le récit de cet amour qui est encore cher à mon souvenir.
Mais je crains que je ne m’imagine de donner à Voſtre Alteſſe comme une choſe agreable, qui peut-eſtre ne le ſera que pour moy, qui y ſuis encore intéreſſée.	Mais je crains que je ne m’imagine de donner à Votre Altesse comme une chose agréable, qui peut-être ne le sera que pour moi, qui y suis encore intéressée.
Qu’une femme eſt folle quand elle aime !	Qu’une femme est folle quand elle aime !
ou qu’elle eſt malheureuſe quand elle a de la vertu & de l’amour !	ou qu’elle est malheureuse quand elle a de la vertu et de l’amour !
que j’eus à ſouffrir, pendant ce peu de jours que cét Amant fut dans ſon lit, & qu’on ne me permit pas de luy faire viſite !	que j’eus à souffrir, pendant ce peu de jours que cet Amant fut dans son lit, et qu’on ne me permit pas de lui faire visite !
qu’il ſouffrit luy-meſme de ne me voir pas !	qu’il souffrit lui-même de ne me voir pas !
Je croy que le ſeul dépit qu’il en eut, le guerit par l’envie qu’il luy donna de venir au plûtoſt me reprocher cette dureté :	Je crois que le seul dépit qu’il en eut, le guérit par l’envie qu’il lui donna de venir au plutôt me reprocher cette dureté :
il me ſouvient des meſmes paroles qu’il me dit un jour dans ce dépit, qui luy ſembloit le plus juſte du monde.	il me souvient des mêmes paroles qu’il me dit un jour dans ce dépit, qui lui semblait le plus juste du monde.
Madame d’Engleſac eſtoit occupée à recevoir le Duc de Villars, & l’Eveſque d’Agde, qui l’eſtoient venu viſiter l’un & l’autre en meſme temps.	Madame d’Englesac était occupée à recevoir le Duc de Villars, et l’Évêque d’Agde, qui l’étaient venu visiter l’un et l’autre en même temps.
Le Chevalier des Eſſars, Gentilhomme de merite, & le mieux fait de ſon Païs, les avoit accompagnez ;	Le Chevalier des Essars, Gentilhomme de mérite, et le mieux fait de son Pays, les avait accompagnés ;
& comme j’ay déja dit, que le Comte d’Engleſac avoit deux ſœurs ;	et comme j’ai déjà dit, que le Comte d’Englesac avait deux sœurs ;
ce Chevalier eſtoit amoureux de l’aiſnée.	ce Chevalier était amoureux de l’aînée.
Je penſe méme que le Duc de Villars n’eſtoit là venu que pour trouver un moyen d’en faire le mariage, & je ne ſçay ce qui empeſcha qu’il ne ſe concluſt :	Je pense même que le Duc de Villars n’était là venu que pour trouver un moyen d’en faire le mariage, et je ne sais ce qui empêcha qu’il ne se conclût :
mais quoy qu’il en ſoit ;	mais quoi qu’il en soit ;
tandis que la Mere s’entretenoit avec luy dans un Salon, l’Eveſque avoit donné envie aux autres d’entrer dans la gallerie, & toute la compagnie s’alla mettre au bout ſur des bancs.	tandis que la Mère s’entretenait avec lui dans un Salon, l’Évêque avait donné envie aux autres d’entrer dans la galerie, et toute la compagnie s’alla mettre au bout sur des bancs.
Mon jeune Comte s’y vint aſſeoir auprés de moy, & aprés avoir jetté un grand ſoûpir de ce que je ne le regardois point ;	Mon jeune Comte s’y vint asseoir auprès de moi, et après avoir jeté un grand soupir de ce que je ne le regardais point ;
(je ne l’oſois à cauſe que la plus jeune de ſes ſœurs me tenoit de l’autre coſté, & s’appuyoit en badinant ſur mon épaule)	(je ne l’osais à cause que la plus jeune de ses sœurs me tenait de l’autre côté, et s’appuyait en badinant sur mon épaule)
il me dit aſſez bas d’un ton de dépit ;	il me dit assez bas d’un ton de dépit ;
Vous voulez que je meure crüelle, je le voy bien, ouy vous le voulez, & il eſt aiſé à connoiſtre que je vous euſſe fait plaiſir s’il eut dépendu de moy de mourir de ma maladie ces jours paſſez ;	Vous voulez que je meure cruelle, je le vois bien, oui vous le voulez, et il est aisé à connaître que je vous eusse fait plaisir s’il eût dépendu de moi de mourir de ma maladie ces jours passés ;
mais je vivray peut-eſtre encore aſſez pour vous reprocher voſtre inconſtance plus que vous ne le voudrez.	mais je vivrai peut-être encore assez pour vous reprocher votre inconstance plus que vous ne le voudrez.
